Source,Indicator,Year,Value,Unit,Scale,Sex
WHO,Mortality rate (under 5),1950,341.161352538,,,Female
WHO,Mortality rate (under 5),1950,361.363246745,,,Male
WHO,Mortality rate (under 5),1950,351.632366622,,,Total
WHO,Mortality rate (under 5),1953,330.736534671,,,Female
WHO,Mortality rate (under 5),1953,350.44960371,,,Male
WHO,Mortality rate (under 5),1953,340.776585447,,,Total
WHO,Mortality rate (under 5),1955,323.497601742,,,Female
WHO,Mortality rate (under 5),1955,342.921348645,,,Male
WHO,Mortality rate (under 5),1955,333.479437614,,,Total
WHO,Mortality rate (under 5),1948,359.085143504,,,Total
WHO,Mortality rate (under 5),1949,355.281337691,,,Total
WHO,Mortality rate (under 5),1945,371.129458402,,,Total
WHO,Mortality rate (under 5),1946,367.027018069,,,Total
WHO,Mortality rate (under 5),1947,363.073754086,,,Total
WHO,Mortality rate (under 5),1952,334.083568523,,,Female
WHO,Mortality rate (under 5),1952,353.919228804,,,Male
WHO,Mortality rate (under 5),1952,344.186654735,,,Total
WHO,Mortality rate (under 5),1954,327.140457905,,,Female
WHO,Mortality rate (under 5),1954,346.783613695,,,Male
WHO,Mortality rate (under 5),1954,337.129731246,,,Total
WHO,Mortality rate (under 5),1951,337.631249609,,,Female
WHO,Mortality rate (under 5),1951,357.474455063,,,Male
WHO,Mortality rate (under 5),1951,347.973073591,,,Total
WHO,Mortality rate (under 5),1962,291.279381533,,,Female
WHO,Mortality rate (under 5),1962,311.769986277,,,Male
WHO,Mortality rate (under 5),1962,301.929600537,,,Total
WHO,Mortality rate (under 5),1957,315.56559386,,,Female
WHO,Mortality rate (under 5),1957,334.854536926,,,Male
WHO,Mortality rate (under 5),1957,325.327471307,,,Total
WHO,Mortality rate (under 5),1960,301.731956296,,,Female
WHO,Mortality rate (under 5),1960,321.523005537,,,Male
WHO,Mortality rate (under 5),1960,311.979915317,,,Total
WHO,Mortality rate (under 5),1963,285.850958456,,,Female
WHO,Mortality rate (under 5),1963,306.419601772,,,Male
WHO,Mortality rate (under 5),1963,296.333624922,,,Total
WHO,Mortality rate (under 5),1966,269.707230012,,,Female
WHO,Mortality rate (under 5),1966,290.333032937,,,Male
WHO,Mortality rate (under 5),1966,280.030670794,,,Total
WHO,Mortality rate (under 5),1958,311.393404265,,,Female
WHO,Mortality rate (under 5),1958,330.604430394,,,Male
WHO,Mortality rate (under 5),1958,321.110921084,,,Total
WHO,Mortality rate (under 5),1967,264.508689817,,,Female
WHO,Mortality rate (under 5),1967,285.368370009,,,Male
WHO,Mortality rate (under 5),1967,275.068022514,,,Total
WHO,Mortality rate (under 5),1961,296.663918797,,,Female
WHO,Mortality rate (under 5),1961,316.788935373,,,Male
WHO,Mortality rate (under 5),1961,307.097663888,,,Total
WHO,Mortality rate (under 5),1964,280.389956583,,,Female
WHO,Mortality rate (under 5),1964,300.942740671,,,Male
WHO,Mortality rate (under 5),1964,290.70443367,,,Total
WHO,Malaria cases,2001,428.3325338,,,
WHO,Malaria cases,2000,412.4825749,,,
WHO,Malaria cases,2002,446.4507898,,,
WHO,Malaria cases,2008,465.3725765,,,
WHO,Malaria cases,2019,401.1113595,,,
WHO,Malaria cases,2007,486.8432089,,,
WHO,Malaria cases,2013,361.953352,,,
WHO,Malaria cases,2012,364.4910579,,,
WHO,Malaria cases,2018,409.274084,,,
WHO,Malaria cases,2006,499.9520317,,,
WHO,Malaria cases,2017,418.6791619,,,
WHO,Malaria cases,2023,363.3958362,,,
WHO,Malaria cases,2005,502.4367614,,,
WHO,Malaria cases,2011,381.41775259999997,,,
WHO,Malaria cases,2022,377.9097351,,,
WHO,Malaria cases,2010,414.3535218,,,
WHO,Malaria cases,2016,419.8647426,,,
WHO,Malaria cases,2021,378.9791967,,,
WHO,Malaria cases,2004,488.133609,,,
WHO,Malaria cases,2009,444.0205257,,,
WHO,Malaria cases,2015,392.8363097,,,
WHO,Malaria cases,2003,465.8648287,,,
WHO,Malaria cases,2014,369.533807,,,
WHO,Malaria cases,2020,378.2586132,,,
WHO,HIV infections,1992,0.9,,,Total
WHO,HIV infections,1995,1.5,,,Total
WHO,HIV infections,1991,0.69,,,Total
WHO,HIV infections,1990,0.49,,,Total
WHO,HIV infections,1994,1.4,,,Total
WHO,HIV infections,1993,1.1,,,Total
WHO,HIV infections,2003,0.74,,,Total
WHO,HIV infections,2014,0.3,,,Total
WHO,HIV infections,2021,0.13,,,Total
WHO,HIV infections,1999,1,,,Total
WHO,HIV infections,2006,0.63,,,Total
WHO,HIV infections,2010,0.42,,,Total
WHO,HIV infections,2017,0.2,,,Total
WHO,HIV infections,2002,0.79,,,Total
WHO,HIV infections,2013,0.34,,,Total
WHO,HIV infections,2020,0.14,,,Total
WHO,HIV infections,1998,1.2,,,Total
WHO,HIV infections,2009,0.47,,,Total
WHO,HIV infections,2016,0.21,,,Total
WHO,HIV infections,2001,0.87,,,Total
WHO,HIV infections,2005,0.69,,,Total
WHO,HIV infections,2012,0.36,,,Total
WHO,HIV infections,2023,0.1,,,Total
WHO,HIV infections,1997,1.3,,,Total
WHO,Mortality rate (neonetal),1962,63.52554363,,,Total
WHO,Mortality rate (neonetal),1971,57.809760122,,,Total
WHO,Mortality rate (neonetal),1977,53.595199196,,,Total
WHO,Mortality rate (neonetal),1960,64.344375165,,,Total
WHO,Mortality rate (neonetal),1961,64.006639557,,,Total
WHO,Mortality rate (neonetal),1970,58.523619058,,,Total
WHO,Mortality rate (neonetal),1976,54.303742443,,,Total
WHO,Mortality rate (neonetal),1958,65.03518948,,,Total
WHO,Mortality rate (neonetal),1959,64.690061681,,,Total
WHO,Mortality rate (neonetal),1969,59.174694957,,,Total
WHO,Mortality rate (neonetal),1968,59.797044329,,,Total
WHO,Mortality rate (neonetal),1975,55.017921228,,,Total
WHO,Mortality rate (neonetal),1980,51.454097471,,,Total
WHO,Mortality rate (neonetal),1967,60.435227677,,,Total
WHO,Mortality rate (neonetal),1974,55.702906219,,,Total
WHO,Mortality rate (neonetal),1966,61.113230232,,,Total
WHO,Mortality rate (neonetal),1973,56.373854608,,,Total
WHO,Mortality rate (neonetal),1979,52.149480114,,,Total
WHO,Mortality rate (neonetal),1965,61.793856288,,,Total
WHO,Mortality rate (neonetal),1978,52.870423103,,,Total
WHO,Mortality rate (neonetal),1963,62.98651166,,,Total
WHO,Mortality rate (neonetal),1964,62.383262215,,,Total
WHO,Mortality rate (neonetal),1972,57.100525842,,,Total
WHO,Mortality rate (neonetal),1982,50.091336954,,,Total
